"X","Year","Age_Group","Race_Ethnicity","First_Degree_History","Age_Menarche","Age_First_Birth","Breast_Density","Hormone_Replacement_Therapy","Menopause_Status","BMI_Group","Biopsy_History","Breast_Cancer_History","Count"
3584,2016,"65-69","Other/Mixed","No","12-13","20-24","Almost entirely fat","No","Post-menopausal","10-24.99","No","No",1
952,2015,"50-54","Non-Hispanic Black","Yes","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",1
1265,2016,"80-84","Non-Hispanic Black","No","12-13","25-29","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","Yes",1
51,2013,"65-69","Non-Hispanic Black","No","12-13","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",3
1617,2016,"65-69","Hispanic","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",6
993,2017,"80-84","Non-Hispanic White","Yes","12-13","<20","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",2
1540,2017,"55-59","Hispanic","No","<12","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",1
4664,2015,"40-44","Hispanic","No",">14","<20","Heterogeneously dense","No","Pre- or Peri-menopausal","25-29.99","Yes","No",1
1463,2017,"55-59","Hispanic","No",">14",">30","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",3
559,2015,"65-69","Hispanic","No",">14","20-24","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",4
4377,2013,"65-69","Hispanic","No","<12","20-24","Almost entirely fat","No","Post-menopausal","25-29.99","No","No",2
481,2016,"60-64","Non-Hispanic Black","No",">14","20-24","Almost entirely fat","No","Post-menopausal","10-24.99","No","No",1
2609,2013,"65-69","Non-Hispanic White","Yes","12-13",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","No",8
3369,2015,"55-59","Non-Hispanic Black","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",8
2861,2017,"50-54","Non-Hispanic White","Yes","12-13","<20","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",1
2977,2016,"45-49","Non-Hispanic White","No",">14","20-24","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",19
2031,2014,"55-59","Other/Mixed","No","12-13","<20","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",1
2252,2014,"65-69","Hispanic","No",">14","25-29","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","No",4
430,2017,"60-64","Other/Mixed","Yes","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",1
2068,2015,"55-59","Non-Hispanic White","Yes","<12","Nulliparous","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",1
304,2015,"80-84","Non-Hispanic White","Yes","<12","20-24","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","No","No",4
430,2017,"60-64","Other/Mixed","Yes","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",1
526,2014,"65-69","Non-Hispanic White","Yes","<12","20-24","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","Yes",1
3729,2016,"55-59","Non-Hispanic Black","No","<12","20-24","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","Yes",1
3629,2014,"50-54","Asian/Pacific Islander","Yes",">14","25-29","Extremely dense","No","Surgical Menopause","10-24.99","Yes","No",1
2239,2013,"60-64","Other/Mixed","No","<12","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","No","No",3
2934,2017,"55-59","Non-Hispanic Black","No","<12","25-29","Scattered fibroglandular densities","No","Surgical Menopause","10-24.99","Yes","Yes",1
1010,2016,"80-84","Non-Hispanic White","No","12-13","25-29","Heterogeneously dense","Yes","Post-menopausal","10-24.99","No","No",3
2996,2014,"65-69","Asian/Pacific Islander","No",">14","25-29","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",34
4884,2013,"65-69","Non-Hispanic White","Yes",">14","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","No","Yes",1
3749,2017,"55-59","Non-Hispanic White","Yes","<12","<20","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","No",1
2506,2017,"70-74","Non-Hispanic Black","No",">14","25-29","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","No",1
1058,2016,"60-64","Other/Mixed","No","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",3
4504,2016,"45-49","Hispanic","Yes","12-13","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","35+","No","No",3
2262,2015,"50-54","Non-Hispanic White","Yes","<12","<20","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",2
3108,2016,"55-59","Non-Hispanic Black","Yes","12-13","<20","Heterogeneously dense","No","Surgical Menopause","25-29.99","Yes","No",4
26,2015,"50-54","Asian/Pacific Islander","No",">14","Nulliparous","Extremely dense","No","Post-menopausal","10-24.99","No","No",2
2909,2017,"75-79","Non-Hispanic White","No","<12","20-24","Heterogeneously dense","No","Post-menopausal","30-34.99","Yes","No",1
1452,2016,"50-54","Non-Hispanic Black","No","12-13","<20","Heterogeneously dense","No","Surgical Menopause","35+","Yes","Yes",1
4224,2015,"80-84","Non-Hispanic Black","No","<12","<20","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",2
4500,2014,"50-54","Other/Mixed","No","<12",">30","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",1
131,2015,"65-69","Non-Hispanic White","No","12-13","Nulliparous","Extremely dense","Yes","Post-menopausal","25-29.99","No","No",1
26,2015,"50-54","Asian/Pacific Islander","No",">14","Nulliparous","Extremely dense","No","Post-menopausal","10-24.99","No","No",2
1201,2014,"40-44","Asian/Pacific Islander","Yes","12-13",">30","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",1
3140,2015,"70-74","Hispanic","No","12-13","20-24","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","No",5
4051,2014,"50-54","Non-Hispanic Black","Yes","<12","Nulliparous","Extremely dense","No","Surgical Menopause","25-29.99","No","No",1
161,2014,"50-54","Non-Hispanic White","No",">14","Nulliparous","Extremely dense","Yes","Post-menopausal","10-24.99","No","No",4
1060,2015,"35-39","Asian/Pacific Islander","No","12-13","Nulliparous","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","No","No",3
2260,2016,"80-84","Non-Hispanic White","No","12-13","20-24","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",66
2998,2015,"65-69","Non-Hispanic Black","No","<12","20-24","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",20
481,2016,"60-64","Non-Hispanic Black","No",">14","20-24","Almost entirely fat","No","Post-menopausal","10-24.99","No","No",1
4610,2013,"70-74","Non-Hispanic White","No","<12",">30","Heterogeneously dense","Yes","Post-menopausal","25-29.99","Yes","No",1
2531,2016,"45-49","Non-Hispanic Black","No","<12","<20","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","Yes","No",1
476,2016,"50-54","Hispanic","No","<12","20-24","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",5
580,2013,"75-79","Non-Hispanic Black","Yes","12-13","<20","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",4
1714,2016,"70-74","Asian/Pacific Islander","No",">14",">30","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",1
852,2016,"45-49","Asian/Pacific Islander","No","<12","Nulliparous","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",1
823,2013,"65-69","Non-Hispanic Black","No",">14","<20","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","Yes",1
2295,2015,"60-64","Non-Hispanic White","No","12-13","Nulliparous","Almost entirely fat","No","Post-menopausal","35+","Yes","Yes",2
3369,2015,"55-59","Non-Hispanic Black","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",8
1416,2013,"65-69","Hispanic","Yes",">14","<20","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","Yes",1
2722,2016,"70-74","Non-Hispanic White","No",">14","<20","Almost entirely fat","No","Post-menopausal","25-29.99","No","No",6
1000,2014,"40-44","Asian/Pacific Islander","No","<12","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","30-34.99","No","No",3
1730,2013,"55-59","Asian/Pacific Islander","No","12-13","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",1
2998,2015,"65-69","Non-Hispanic Black","No","<12","20-24","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",20
140,2013,"65-69","Asian/Pacific Islander","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","No",1
303,2016,"55-59","Hispanic","Yes","12-13","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","No","No",1
4794,2014,"45-49","Non-Hispanic White","No","<12","25-29","Almost entirely fat","No","Post-menopausal","25-29.99","No","No",1
1140,2013,"80-84","Non-Hispanic White","Yes",">14","<20","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","No",1
4003,2017,"55-59","Hispanic","No",">14","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",1
2847,2016,"65-69","Non-Hispanic Black","No",">14","25-29","Almost entirely fat","No","Post-menopausal","25-29.99","No","No",2
1640,2015,"45-49","Non-Hispanic White","Yes","<12",">30","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","Yes","No",1
1131,2016,"55-59","Non-Hispanic Black","No","12-13","<20","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","No","No",1
11,2017,"75-79","Non-Hispanic White","Yes","12-13","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",4
2709,2017,"35-39","Hispanic","No","<12",">30","Extremely dense","No","Pre- or Peri-menopausal","35+","Yes","No",1
3209,2015,"65-69","Non-Hispanic Black","No","<12","<20","Almost entirely fat","No","Post-menopausal","35+","No","No",12
3499,2015,"55-59","Asian/Pacific Islander","Yes",">14","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",2
1109,2013,"75-79","Non-Hispanic White","No",">14","Nulliparous","Heterogeneously dense","No","Post-menopausal","25-29.99","No","Yes",1
604,2017,"40-44","Non-Hispanic White","No","12-13","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","25-29.99","Yes","Yes",1
886,2014,"65-69","Asian/Pacific Islander","No","<12","25-29","Almost entirely fat","Yes","Post-menopausal","35+","No","No",1
4004,2015,"75-79","Non-Hispanic White","No","12-13","<20","Scattered fibroglandular densities","Yes","Post-menopausal","25-29.99","No","No",1
4714,2014,"40-44","Non-Hispanic Black","No","<12","20-24","Extremely dense","No","Surgical Menopause","10-24.99","No","No",1
3585,2017,"35-39","Non-Hispanic White","Yes",">14","20-24","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","No","No",3
642,2014,"65-69","Asian/Pacific Islander","No",">14","25-29","Almost entirely fat","No","Post-menopausal","35+","No","No",1
178,2017,"70-74","Non-Hispanic White","Yes","<12","<20","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",4
4498,2016,">85","Non-Hispanic White","No","12-13","<20","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",1
991,2014,"70-74","Non-Hispanic White","Yes","12-13","25-29","Extremely dense","No","Post-menopausal","25-29.99","No","No",1
3624,2013,"55-59","Hispanic","No","12-13","<20","Almost entirely fat","No","Post-menopausal","25-29.99","No","No",3
3962,2016,"60-64","Non-Hispanic White","No",">14","Nulliparous","Scattered fibroglandular densities","Yes","Post-menopausal","10-24.99","No","No",4
2903,2016,"70-74","Asian/Pacific Islander","No",">14","20-24","Heterogeneously dense","Yes","Post-menopausal","10-24.99","No","No",1
1523,2017,"75-79","Non-Hispanic White","No","12-13","20-24","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","No",31
4798,2013,"70-74","Non-Hispanic White","Yes",">14","25-29","Almost entirely fat","No","Post-menopausal","25-29.99","No","No",3
375,2014,"55-59","Other/Mixed","No","<12",">30","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",4
2311,2015,"80-84","Non-Hispanic Black","No","<12","<20","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","Yes",2
3311,2016,"55-59","Non-Hispanic White","No","12-13","25-29","Heterogeneously dense","No","Surgical Menopause","25-29.99","Yes","Yes",1
4594,2017,"50-54","Hispanic","No","12-13",">30","Extremely dense","No","Post-menopausal","25-29.99","No","No",1
4629,2015,"30-34","Non-Hispanic White","No","12-13",">30","Heterogeneously dense","No","Pre- or Peri-menopausal","25-29.99","No","No",3
3671,2015,"35-39","Other/Mixed","No","12-13",">30","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","No","No",1
1736,2014,"70-74","Non-Hispanic White","No","12-13",">30","Scattered fibroglandular densities","Yes","Post-menopausal","25-29.99","Yes","No",1
3670,2016,"50-54","Hispanic","No","12-13",">30","Almost entirely fat","No","Pre- or Peri-menopausal","30-34.99","No","No",1
3882,2017,"45-49","Non-Hispanic Black","No","<12","Nulliparous","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",1
1630,2017,"55-59","Non-Hispanic White","No","<12","25-29","Scattered fibroglandular densities","No","Surgical Menopause","10-24.99","No","Yes",1
1093,2013,"65-69","Non-Hispanic White","No","<12","<20","Heterogeneously dense","No","Post-menopausal","35+","No","Yes",1
2223,2016,"65-69","Non-Hispanic White","No","<12",">30","Almost entirely fat","Yes","Post-menopausal","35+","Yes","Yes",1
145,2014,"70-74","Native American","No","12-13","25-29","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","Yes",1
278,2013,"80-84","Non-Hispanic White","Yes","12-13","20-24","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",10
3637,2016,"50-54","Non-Hispanic Black","Yes","12-13","<20","Scattered fibroglandular densities","No","Surgical Menopause","35+","No","No",3
2760,2016,"40-44","Non-Hispanic White","Yes","<12","Nulliparous","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","No","No",3
3712,2016,"55-59","Non-Hispanic White","Yes",">14","Nulliparous","Heterogeneously dense","No","Surgical Menopause","25-29.99","Yes","No",1
3283,2014,"45-49","Non-Hispanic White","No",">14",">30","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",48
4444,2016,"70-74","Asian/Pacific Islander","No",">14","20-24","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","Yes",3
4236,2014,"45-49","Non-Hispanic White","No",">14","<20","Heterogeneously dense","No","Pre- or Peri-menopausal","35+","No","No",2
1439,2013,"75-79","Hispanic","No",">14","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",1
4931,2014,"65-69","Asian/Pacific Islander","No","12-13",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",14
3266,2016,"55-59","Non-Hispanic White","Yes",">14",">30","Heterogeneously dense","No","Post-menopausal","30-34.99","Yes","No",2
2035,2015,"50-54","Non-Hispanic White","Yes","<12",">30","Extremely dense","No","Post-menopausal","10-24.99","Yes","No",2
44,2015,"50-54","Non-Hispanic Black","No","<12",">30","Heterogeneously dense","No","Post-menopausal","35+","No","No",1
891,2013,"75-79","Non-Hispanic White","No",">14","20-24","Almost entirely fat","No","Post-menopausal","10-24.99","No","No",10
3303,2016,"55-59","Non-Hispanic White","No","<12","Nulliparous","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","Yes","Yes",2
3284,2014,"45-49","Hispanic","No",">14","20-24","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",3
1781,2014,"55-59","Asian/Pacific Islander","Yes","12-13","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",1
3212,2015,"75-79","Non-Hispanic Black","No","<12","<20","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","Yes",1
1914,2014,"75-79","Non-Hispanic White","No",">14","<20","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","No",2
1895,2014,"50-54","Non-Hispanic White","No","12-13",">30","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",33
528,2014,"70-74","Non-Hispanic Black","Yes","12-13","Nulliparous","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","Yes",2
177,2015,"70-74","Non-Hispanic Black","Yes","12-13","20-24","Almost entirely fat","No","Post-menopausal","25-29.99","No","No",3
1127,2017,"60-64","Non-Hispanic White","Yes","12-13","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","No",6
478,2016,"45-49","Non-Hispanic White","No",">14",">30","Heterogeneously dense","No","Surgical Menopause","10-24.99","No","No",9
3769,2015,">85","Non-Hispanic White","No","12-13","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",9
2446,2015,"55-59","Non-Hispanic White","Yes","12-13",">30","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","No",3
3093,2016,"50-54","Other/Mixed","No","12-13","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","30-34.99","No","No",1
2518,2014,"60-64","Non-Hispanic White","No","12-13","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",45
4937,2015,">85","Asian/Pacific Islander","No","<12","20-24","Extremely dense","No","Post-menopausal","10-24.99","Yes","No",1
1257,2015,"50-54","Non-Hispanic White","Yes","<12","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",5
3210,2016,"50-54","Non-Hispanic Black","No","12-13","20-24","Heterogeneously dense","No","Surgical Menopause","35+","Yes","No",1
3901,2013,"80-84","Non-Hispanic White","Yes","12-13","20-24","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","No",2
232,2015,"55-59","Non-Hispanic White","No","12-13","25-29","Heterogeneously dense","No","Surgical Menopause","30-34.99","Yes","No",1
1285,2013,"65-69","Other/Mixed","Yes","<12","25-29","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",1
618,2015,"50-54","Hispanic","No","12-13","25-29","Heterogeneously dense","No","Surgical Menopause","10-24.99","No","No",1
501,2017,"35-39","Non-Hispanic Black","No",">14","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","Yes","No",1
2021,2014,"45-49","Non-Hispanic Black","No","12-13","25-29","Scattered fibroglandular densities","No","Surgical Menopause","30-34.99","No","No",6
2808,2014,"30-34","Non-Hispanic White","No",">14","20-24","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","35+","No","No",1
890,2014,"55-59","Non-Hispanic Black","Yes","12-13","<20","Heterogeneously dense","No","Post-menopausal","35+","Yes","No",1
2515,2017,">85","Hispanic","No","<12","<20","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","Yes",1
4024,2014,"60-64","Non-Hispanic White","No","<12","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","No","Yes",1
980,2015,"50-54","Hispanic","No","12-13","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","No","No",1
4319,2016,"50-54","Non-Hispanic White","No",">14","20-24","Heterogeneously dense","No","Surgical Menopause","30-34.99","No","No",7
1095,2014,"75-79","Non-Hispanic White","No",">14","25-29","Extremely dense","No","Post-menopausal","10-24.99","Yes","No",1
699,2016,"80-84","Non-Hispanic White","No",">14","20-24","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",32
900,2015,"70-74","Non-Hispanic Black","Yes","<12","20-24","Heterogeneously dense","No","Post-menopausal","35+","No","No",2
4083,2015,"18-29","Non-Hispanic White","No","12-13","<20","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","No","No",1
4581,2017,"65-69","Non-Hispanic White","No","12-13","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","Yes",14
2569,2016,"35-39","Non-Hispanic White","Yes","<12","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","No","No",1
2337,2014,"75-79","Non-Hispanic White","Yes","12-13","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","No","No",9
1695,2016,"45-49","Non-Hispanic White","No",">14",">30","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","Yes","Yes",2
4632,2015,"50-54","Non-Hispanic White","Yes","<12","<20","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",1
208,2016,"55-59","Hispanic","No","12-13","<20","Heterogeneously dense","No","Surgical Menopause","30-34.99","Yes","Yes",1
2419,2017,"65-69","Non-Hispanic White","No","<12","Nulliparous","Almost entirely fat","No","Post-menopausal","35+","Yes","No",3
4577,2016,"70-74","Asian/Pacific Islander","No",">14","20-24","Heterogeneously dense","No","Post-menopausal","30-34.99","Yes","No",1
938,2013,"75-79","Hispanic","Yes",">14","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","Yes",1
4937,2015,">85","Asian/Pacific Islander","No","<12","20-24","Extremely dense","No","Post-menopausal","10-24.99","Yes","No",1
313,2014,"70-74","Non-Hispanic White","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","No","Yes",1
835,2014,"60-64","Hispanic","No","12-13",">30","Extremely dense","No","Post-menopausal","25-29.99","No","No",3
2688,2017,"65-69","Other/Mixed","No",">14","20-24","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",2
2035,2015,"50-54","Non-Hispanic White","Yes","<12",">30","Extremely dense","No","Post-menopausal","10-24.99","Yes","No",2
3710,2015,"60-64","Non-Hispanic White","No","<12","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","Yes",3
3418,2014,"45-49","Non-Hispanic White","No","12-13","Nulliparous","Heterogeneously dense","Yes","Post-menopausal","30-34.99","Yes","No",1
4267,2017,"65-69","Non-Hispanic White","No","12-13","25-29","Almost entirely fat","No","Post-menopausal","35+","No","No",39
547,2015,"40-44","Hispanic","No","<12","Nulliparous","Heterogeneously dense","No","Surgical Menopause","25-29.99","No","No",1
2753,2013,"55-59","Non-Hispanic Black","Yes","12-13","Nulliparous","Scattered fibroglandular densities","Yes","Post-menopausal","35+","Yes","No",1
1540,2017,"55-59","Hispanic","No","<12","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",1
3817,2014,"50-54","Hispanic","No","<12","Nulliparous","Extremely dense","No","Surgical Menopause","10-24.99","No","No",1
2126,2017,"50-54","Non-Hispanic White","No",">14","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",30
3306,2014,"55-59","Non-Hispanic White","No","<12",">30","Heterogeneously dense","No","Surgical Menopause","30-34.99","No","No",2
2688,2017,"65-69","Other/Mixed","No",">14","20-24","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",2
1277,2016,"55-59","Non-Hispanic Black","No","<12","25-29","Scattered fibroglandular densities","No","Surgical Menopause","30-34.99","No","No",4
3372,2017,"35-39","Non-Hispanic White","No",">14","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","No","No",3
1631,2015,"55-59","Hispanic","No","<12","20-24","Scattered fibroglandular densities","No","Post-menopausal","35+","No","Yes",1
1931,2014,"45-49","Hispanic","No","<12","<20","Almost entirely fat","Yes","Post-menopausal","35+","No","No",1
1491,2013,"55-59","Non-Hispanic White","Yes","12-13","25-29","Heterogeneously dense","No","Surgical Menopause","25-29.99","Yes","No",1
3671,2015,"35-39","Other/Mixed","No","12-13",">30","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","No","No",1
1379,2014,"65-69","Non-Hispanic Black","Yes",">14","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","No",1
1781,2014,"55-59","Asian/Pacific Islander","Yes","12-13","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",1
3076,2013,"60-64","Hispanic","No","12-13","<20","Heterogeneously dense","No","Post-menopausal","30-34.99","Yes","Yes",1
454,2013,"55-59","Hispanic","No","<12","<20","Scattered fibroglandular densities","No","Surgical Menopause","25-29.99","No","No",3
658,2013,"65-69","Non-Hispanic White","Yes","<12","Nulliparous","Scattered fibroglandular densities","Yes","Post-menopausal","25-29.99","No","No",2
3782,2017,"50-54","Non-Hispanic Black","No","<12","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","35+","Yes","No",1
3319,2017,">85","Non-Hispanic White","Yes","12-13",">30","Almost entirely fat","No","Post-menopausal","10-24.99","No","No",1
3708,2014,"75-79","Non-Hispanic White","Yes","<12","20-24","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",12
3882,2017,"45-49","Non-Hispanic Black","No","<12","Nulliparous","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",1
3256,2015,"60-64","Non-Hispanic White","No","<12","<20","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",3
4604,2016,"55-59","Non-Hispanic White","No","12-13","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","No","Yes",5
1096,2015,"45-49","Other/Mixed","No","12-13","20-24","Scattered fibroglandular densities","No","Surgical Menopause","30-34.99","No","No",1
1370,2017,"70-74","Asian/Pacific Islander","No","12-13","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",3
4492,2017,"45-49","Non-Hispanic White","No","12-13","Nulliparous","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","No","No",23
2021,2014,"45-49","Non-Hispanic Black","No","12-13","25-29","Scattered fibroglandular densities","No","Surgical Menopause","30-34.99","No","No",6
2271,2015,"70-74","Non-Hispanic White","No","12-13","Nulliparous","Heterogeneously dense","Yes","Post-menopausal","25-29.99","No","No",1
3474,2016,"50-54","Other/Mixed","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",1
1365,2014,"75-79","Non-Hispanic Black","No","12-13","20-24","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","No","Yes",2
312,2014,"50-54","Non-Hispanic White","Yes","12-13",">30","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","30-34.99","No","No",11
1244,2015,"65-69","Non-Hispanic Black","No","<12","25-29","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",2
2144,2013,"70-74","Non-Hispanic White","No","<12","20-24","Almost entirely fat","No","Post-menopausal","25-29.99","Yes","No",2
2235,2017,"65-69","Non-Hispanic White","Yes","12-13","<20","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","No",6
4331,2016,"60-64","Other/Mixed","No","12-13","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",1
4116,2015,"45-49","Non-Hispanic Black","Yes","<12","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","Yes","No",1
1238,2014,"70-74","Asian/Pacific Islander","No","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","Yes",1
1331,2013,"55-59","Non-Hispanic White","Yes",">14","20-24","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",9
3963,2015,">85","Non-Hispanic White","Yes","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","No",3
4578,2014,"60-64","Asian/Pacific Islander","Yes",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","No",1
35,2015,"45-49","Non-Hispanic White","No","12-13",">30","Almost entirely fat","No","Post-menopausal","35+","No","No",1
3326,2014,"50-54","Non-Hispanic White","Yes","<12","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","35+","Yes","Yes",1
296,2016,"70-74","Native American","No","12-13","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","No",1
